Media Languages

  Afrikaans: อัฟริกัน
  Albanian: แอลเบเนีย
  Amharic: ราชการของเอธิโอเปีย
  Arabic(Egyptian): อาหรับ (อียิปต์)
  Arabic(Levantine): อาหรับ (ลิแวนต์)
  Arabic(ModernStandard): อาหรับ (ModernStandard)
  Arabic(Moroccan): อาหรับ (โมร็อกโก)
  Aramaic: อราเมอิก
  Armenian: อาร์เมเนีย
  Assamese: อาหม
  Aymara: เผ่าพันธุ์
  Azerbaijani: อาเซอร์ไบจัน
  Bahasa: ธง
  Bahasa: ธง
  Balochi: บา
  Basque: ชาวแบสค์
  Belarusian: เบลารุส
  Bengali: ประเทศบังคลาเทศ
  Berber: เบอร์เบอร์
  Bislama: Bislama
  Bosnian: บอสเนีย
  Bulgarian: บัลแกเรีย
  Burmese: พม่า
  Cantonese: กวางตุ้ง
  Catalan: คาตาลัน
  Cebuano: Cebuano
  Cherokee: เชโรกี
  ChinookJargon: ChinookJargon
  Croatian: โครเอเชีย
  Czech: สาธารณรัฐเช็ก
  Danish: เดนมาร์ก
  Dari: Dari
  Dutch: ดัตช์
  Egyptian: ชาวอียิปต์
  English: อังกฤษ
  Esperanto: ภาษาโลก
  Estonian: เอสโตเนีย
  Farsi: ฟาร์ซี
  Finnish: ฟินแลนด์
  French: ฝรั่งเศส
  Georgian: จอร์เจีย
  German: เยอรมัน
  Greek: กรีก
  Guarani: นี
  Gujarati: คุชราต
  HaitianCreole: HaitianCreole
  Hausa: เฮาซา
  Hawaiian: ฮาวาย
  HawaiianCreole: HawaiianCreole
  Hebrew: ชาวอิสราเอล
  Hindi: ภาษาฮินดี
  Hungarian: ฮังการี
  Icelandic: ไอซ์แลนด์
  Ilokano: Ilokano
  Indonesia: อินโดนีเซีย
  Inuit: เอสกิโม
  Irish: ชาวไอริช
  Italian: อิตาลี
  Japanese: ญี่ปุ่น
  Javanese: ชาวชวา
  Kannada: นาดา
  Kazakh: คาซัคสถาน
  Khmer: ขอม
  Korean: เกาหลี
  Kurdi: Kurdi
  Kyrgyz: คีร์กีซ
  Lakota: ลา
  Lao: ลาว
  Latin: ภาษาละติน
  Latvian: ลัตเวีย
  Lithuanian: ภาษาลิธัวเนีย
  Macedonian: มาซิโดเนีย
  Malagasy: มาดากัสการ์
  Malayalam: มาลายาลัม
  Mandarin: ภาษาจีนกลาง
  Marathi: ฐี
  Maya: อินเดียนแดงเผ่ามายะ
  Melayu: มลายู
  Mongolian: มองโกเลีย
  Nahuatl: Nahuatl
  Navajo: นาวาโฮ
  Nepali: เนปาล
  Norwegian: ภาษานอร์เว
  Ojibwa: จิบ
  Oriya: โอริยา
  Oromo: โรโม
  PapuanLanguages: PapuanLanguages
  Pashto: Pashto
  Polish: โปแลนด์
  Portuguese: โปรตุเกส
  Punjabi: ปัญจาบ
  Quechua: ชัว
  Quiche: อาหารฝรั่งเศสชนิดหนึ่ง
  Romanian: โรมาเนีย
  Romany: ยิปซี
  Russian: รัสเซีย
  Sanskrit: ภาษาสันสกฤต
  Serbian: เซอร์เบีย
  Slovak: สโลวาเกีย
  Slovenian: ภาษาสโลเวเนีย
  Somali: โซมาลี
  Spanish: สเปน
  Swahili: ภาษาสวาฮิลี
  Swedish: สวีเดน
  Tagalog: ภาษาตากาล็อก
  Tajik: ทาจิกิสถาน
  Tamil: มิลักขะ
  Telugu: เตลูกู
  Thai: ไทย
  Tibetan: ชาวธิเบต
  TokPisin: TokPisin
  Turkish: ตุรกี
  Turkmen: เติร์กเมนิสถาน
  Ukrainian: ยูเครน
  Urdu: ภาษาอูรดู
  Uyghur: อุยกูร์
  Uzbek: อุซเบก
  Vietnamese: เวียตนาม
  Welsh: เวลส์
  Xhosa: โซซา
  Yiddish: ยิดดิช
  Yoruba: โยรูบา
  Yucatec: Yucatec
  Zapotec: เท็ค
  Zulu: พวกสูลู
  Corsican: คอร์ซิกา
