Media Languages

  Afrikaans: 南非荷兰语
  Albanian: 阿尔巴尼亚人
  Amharic: 阿姆哈拉语
  Arabic(Egyptian): 阿拉伯语（埃及）
  Arabic(Levantine): 阿拉伯语（黎凡特）
  Arabic(ModernStandard): 阿拉伯语（ModernStandard）
  Arabic(Moroccan): 阿拉伯语（摩洛哥）
  Aramaic: 阿拉姆
  Armenian: 亚美尼亚
  Assamese: 阿萨姆
  Aymara: 艾马拉语
  Azerbaijani: 阿塞拜疆
  Bahasa: 印度尼西亚语
  Bahasa: 印度尼西亚语
  Balochi: 俾路支
  Basque: 巴斯克
  Belarusian: 白俄罗斯
  Bengali: 孟加拉
  Berber: 柏柏尔
  Bislama: 比斯拉马语
  Bosnian: 波斯尼亚
  Bulgarian: 保加利亚语
  Burmese: 缅甸语
  Cantonese: 广东话
  Catalan: 加泰罗尼亚
  Cebuano: 宿务语
  Cherokee: 切诺基
  ChinookJargon: ChinookJargon
  Croatian: 克罗地亚
  Czech: 捷克
  Danish: 丹麦
  Dari: 达里语
  Dutch: 荷兰人
  Egyptian: 埃及人
  English: 英语
  Esperanto: 世界语
  Estonian: 爱沙尼亚语
  Farsi: 波斯语
  Finnish: 芬兰
  French: 法国
  Georgian: 格鲁吉亚
  German: 德国
  Greek: 希腊语
  Guarani: 瓜拉尼
  Gujarati: 古吉拉特
  HaitianCreole: HaitianCreole
  Hausa: 豪萨语
  Hawaiian: 夏威夷
  HawaiianCreole: HawaiianCreole
  Hebrew: 希伯来语
  Hindi: 印地文
  Hungarian: 匈牙利
  Icelandic: 冰岛
  Ilokano: Ilokano
  Indonesia: 印尼
  Inuit: 因纽特人
  Irish: 爱尔兰的
  Italian: 意大利
  Japanese: 日本
  Javanese: 爪哇
  Kannada: 卡纳达语
  Kazakh: 哈萨克人
  Khmer: 高棉
  Korean: 朝鲜的
  Kurdi: 库尔迪
  Kyrgyz: 吉尔吉斯
  Lakota: 拉科塔
  Lao: 老挝
  Latin: 拉丁语
  Latvian: 拉脱维亚
  Lithuanian: 立陶宛
  Macedonian: 马其顿
  Malagasy: 马尔加什
  Malayalam: 马拉雅拉姆语
  Mandarin: 普通话
  Marathi: 马拉地语
  Maya: 玛雅
  Melayu: 马来人
  Mongolian: 蒙
  Nahuatl: 纳瓦特尔语
  Navajo: 纳瓦霍
  Nepali: 尼泊尔
  Norwegian: 挪威
  Ojibwa: 奥吉布瓦
  Oriya: 奥里亚语
  Oromo: 奥罗莫
  PapuanLanguages: PapuanLanguages
  Pashto: 普什图语
  Polish: 波兰语
  Portuguese: 葡萄牙语
  Punjabi: 旁遮普
  Quechua: 克丘亚语
  Quiche: 乳蛋饼
  Romanian: 罗马尼亚
  Romany: 吉普赛
  Russian: 俄
  Sanskrit: 梵语
  Serbian: 塞尔维亚
  Slovak: 斯洛伐克
  Slovenian: 斯洛文尼亚
  Somali: 索马里
  Spanish: 西班牙语
  Swahili: 斯瓦希里
  Swedish: 瑞典
  Tagalog: 他加禄语
  Tajik: 塔吉克
  Tamil: 泰米尔人
  Telugu: 泰卢固语
  Thai: 泰国
  Tibetan: 藏
  TokPisin: TokPisin
  Turkish: 土耳其
  Turkmen: 土库曼
  Ukrainian: 乌克兰
  Urdu: 乌尔都语
  Uyghur: 维吾尔
  Uzbek: 乌兹别克
  Vietnamese: 越南
  Welsh: 威尔士
  Xhosa: 科萨
  Yiddish: 意第绪语
  Yoruba: 约鲁巴语
  Yucatec: 尤卡坦
  Zapotec: 萨波蒂克
  Zulu: 祖鲁
  Corsican: 科西嘉
