Media Languages

  Afrikaans: 南非荷蘭語
  Albanian: 阿爾巴尼亞人
  Amharic: 阿姆哈拉語
  Arabic(Egyptian): 阿拉伯語（埃及）
  Arabic(Levantine): 阿拉伯語（黎凡特）
  Arabic(ModernStandard): 阿拉伯語（ModernStandard）
  Arabic(Moroccan): 阿拉伯語（摩洛哥）
  Aramaic: 阿拉姆
  Armenian: 亞美尼亞
  Assamese: 阿薩姆
  Aymara: 艾馬拉語
  Azerbaijani: 阿塞拜疆
  Bahasa: 印度尼西亞語
  Bahasa: 印度尼西亞語
  Balochi: 俾路支
  Basque: 巴斯克
  Belarusian: 白俄羅斯
  Bengali: 孟加拉
  Berber: 柏柏爾
  Bislama: 比斯拉馬語
  Bosnian: 波斯尼亞
  Bulgarian: 保加利亞語
  Burmese: 緬甸語
  Cantonese: 廣東話
  Catalan: 加泰羅尼亞
  Cebuano: 宿務語
  Cherokee: 切諾基
  ChinookJargon: ChinookJargon
  Croatian: 克羅地亞
  Czech: 捷克
  Danish: 丹麥
  Dari: 達裡語
  Dutch: 荷蘭人
  Egyptian: 埃及人
  English: 英語
  Esperanto: 世界語
  Estonian: 愛沙尼亞語
  Farsi: 波斯語
  Finnish: 芬蘭
  French: 法國
  Georgian: 格魯吉亞
  German: 德國
  Greek: 希臘語
  Guarani: 瓜拉尼
  Gujarati: 古吉拉特
  HaitianCreole: HaitianCreole
  Hausa: 豪薩語
  Hawaiian: 夏威夷
  HawaiianCreole: HawaiianCreole
  Hebrew: 希伯來語
  Hindi: 印地文
  Hungarian: 匈牙利
  Icelandic: 冰島
  Ilokano: Ilokano
  Indonesia: 印尼
  Inuit: 因紐特人
  Irish: 愛爾蘭的
  Italian: 意大利
  Japanese: 日本
  Javanese: 爪哇
  Kannada: 卡納達語
  Kazakh: 哈薩克人
  Khmer: 高棉
  Korean: 朝鮮的
  Kurdi: 庫爾迪
  Kyrgyz: 吉爾吉斯
  Lakota: 拉科塔
  Lao: 老撾
  Latin: 拉丁語
  Latvian: 拉脫維亞
  Lithuanian: 立陶宛
  Macedonian: 馬其頓
  Malagasy: 馬爾加什
  Malayalam: 馬拉雅拉姆語
  Mandarin: 普通話
  Marathi: 馬拉地語
  Maya: 瑪雅
  Melayu: 馬來人
  Mongolian: 蒙
  Nahuatl: 納瓦特爾語
  Navajo: 納瓦霍
  Nepali: 尼泊爾
  Norwegian: 挪威
  Ojibwa: 奧吉布瓦
  Oriya: 奧里亞語
  Oromo: 奧羅莫
  PapuanLanguages: PapuanLanguages
  Pashto: 普什圖語
  Polish: 波蘭語
  Portuguese: 葡萄牙語
  Punjabi: 旁遮普
  Quechua: 克丘亞語
  Quiche: 乳蛋餅
  Romanian: 羅馬尼亞
  Romany: 吉普賽
  Russian: 俄
  Sanskrit: 梵語
  Serbian: 塞爾維亞
  Slovak: 斯洛伐克
  Slovenian: 斯洛文尼亞
  Somali: 索馬里
  Spanish: 西班牙語
  Swahili: 斯瓦希裡
  Swedish: 瑞典
  Tagalog: 他加祿語
  Tajik: 塔吉克
  Tamil: 泰米爾人
  Telugu: 泰盧固語
  Thai: 泰國
  Tibetan: 藏
  TokPisin: TokPisin
  Turkish: 土耳其
  Turkmen: 土庫曼
  Ukrainian: 烏克蘭
  Urdu: 烏爾都語
  Uyghur: 維吾爾
  Uzbek: 烏茲別克
  Vietnamese: 越南
  Welsh: 威爾士
  Xhosa: 科薩
  Yiddish: 意第緒語
  Yoruba: 約魯巴語
  Yucatec: 尤卡坦
  Zapotec: 薩波蒂克
  Zulu: 祖魯
  Corsican: 科西嘉
